상호명_가상,사업단_가상,조직명_가상,그룹분류,보장성NCEV_가상,가동5만_가상,가동20만_가상,실수금률_가상,장기위험손해율_가상,장기1차년도손해율_가상,장기2차년도손해율_가상,유지율_4_가상,유지율_7_가상,유지율_13_가상,유지율_25_37_가상
상호_0,사업단_11,조직_86,1그룹,20752.201560288628,76.40558302348964,72.96502134450103,91.69870255494799,98.7742531619427,39.426274916272135,86.69271623806948,105.35954202687854,89.11412705638053,78.08920571055437,153.27362205630521
상호_1244,사업단_11,조직_86,1그룹,20799.308845841195,63.60563308110094,62.02925640258086,81.95082571405283,69.04073842785604,30.830902076330148,92.60004144592993,92.69030401989252,83.63028610178355,86.66132523172436,116.48820693950866
상호_1655,사업단_6,조직_82,1그룹,26432.847738873712,266.2175697109067,141.87561628304545,90.40640505164232,108.68550027502017,57.13186339757909,126.85993957349386,94.32747337674158,114.92962449987505,82.39513153005227,138.15342986393946
상호_1656,사업단_11,조직_79,1그룹,19677.222481599176,72.71424637437075,65.63170682950431,74.78512085342672,65.21733905601324,37.95319534074209,97.2375735804288,79.53579791250623,83.1310867127146,77.53194655999906,128.38128375753743
상호_1657,사업단_8,조직_73,1그룹,21061.48010696089,150.45613396058323,106.78706590886347,110.30408333917919,45.42429402915894,24.863180264309058,52.42783931063359,93.66416570212681,82.4471749212919,92.65164956860018,161.6765592196991
상호_1658,사업단_11,조직_85,1그룹,16515.378456547453,56.05473821733879,52.40625205316651,83.17411168721111,86.79728460007667,37.689646283722965,97.63183036634081,79.91276674291835,82.12826688297386,87.2914293829922,161.8839512836571
상호_1659,사업단_11,조직_86,1그룹,17543.066347362157,55.98782200132014,57.783500948768314,78.63923612007456,73.71223738714586,34.22407995149749,105.23581661166499,86.31770975345393,104.24769485145909,80.6296055019088,137.69974700953813
상호_1660,사업단_11,조직_84,1그룹,17719.771642297583,36.34129120865749,35.545347764888156,86.23484307398543,61.35839756518664,16.086884511686215,49.940433350030844,96.12229337405022,99.16072804271535,82.3953425078747,118.22552646773232
상호_1661,사업단_11,조직_83,1그룹,18616.522921296113,107.3081124168869,81.88599390432552,103.66615322875923,76.93544957383382,28.888675941124554,64.59145446971449,97.60725903216493,81.77215623234349,78.49048371258088,164.49669458000227
상호_1662,사업단_8,조직_76,1그룹,16022.955489014963,76.62950463046072,67.03871198029991,87.36150248870266,82.45835609989898,39.71455586092536,65.32734813996832,111.57075010770242,95.07155760621737,90.76183969021777,190.27127174584467
상호_1663,사업단_8,조직_74,1그룹,15859.569767771814,170.56406162831888,76.77972314087005,97.84793876680176,72.86301178236842,43.48105472677526,88.45476624910687,106.6687787903812,71.99072788474196,79.21647159948932,145.7039187037925
상호_1664,사업단_11,조직_84,1그룹,12471.689077261062,55.702996017387925,49.874953961582705,114.27320179536677,89.73101740344529,53.70865614706858,100.5909264565805,89.71030176988575,103.24695505860309,77.17349434773695,148.9740845705659
상호_1665,사업단_11,조직_84,1그룹,11028.140801262889,51.86363018847957,47.02667237610581,85.74382742023536,90.99005814326243,29.348664252611105,99.29500015175694,92.99974675739786,106.00359030323072,88.4284418533217,135.66996935720914
상호_1666,사업단_11,조직_86,1그룹,9402.525112535373,42.63036751783702,40.59238015246438,93.00630143958831,70.90408057430624,35.14676840952289,94.17830259883627,97.5448660941676,103.99984043001078,76.30088970693944,107.38967865301481
상호_1667,사업단_3,조직_53,1그룹,14314.307365105176,61.941189139645175,49.59805369259493,106.52967214431749,70.11616630518724,28.361235435628522,80.60726845345127,107.58777557728756,96.15444608416337,75.92213018816085,177.56580228975193
상호_1668,사업단_6,조직_82,1그룹,11865.795187841833,89.98762389196592,66.14279130274176,91.39740670618734,82.508837812115,32.5830720687659,89.82524864787214,94.95817856092742,67.91928252977968,73.46144950319827,184.63108238022573
상호_1669,사업단_11,조직_79,1그룹,8659.0898330501,32.11354572346515,31.196457062700308,98.45802662039674,42.71554046193165,40.71121525593984,47.96808463800009,78.45315585663016,88.93858330258387,101.99305293639023,162.96766177574824
상호_1654,사업단_10,조직_60,1그룹,8811.031905377293,70.52425710562004,52.634396239649135,109.6233423771007,73.08667305059585,49.526092826337425,50.122190523507825,82.35790586711373,89.15330779599078,79.88915724059001,156.28038913128
상호_1653,사업단_8,조직_68,1그룹,12966.379474361527,127.99096532428645,64.71803070599367,84.50814946693359,83.48958469002135,42.56856099998715,99.99164182999355,95.98761327462408,93.46806051042823,71.12890464746408,132.93628637897757
상호_1652,사업단_3,조직_53,1그룹,10986.343874022552,49.176343816878095,38.00672647675655,95.65308897781699,71.39485136727602,42.58268344828274,93.02570908741271,89.76136829710643,95.97720241541708,118.48846146997975,175.56608477119144
상호_1651,사업단_1,조직_67,1그룹,10966.91214818677,86.45504134775473,58.494487667233635,101.31743641817334,62.982061036098806,38.647967964267245,58.050643753996276,85.53664814903338,104.14066807151185,84.34981617054963,184.1660267417231
상호_1635,사업단_9,조직_78,1그룹,7779.623753509759,93.29025463060563,46.693766956600626,93.31977766398948,91.89444428258655,19.61759306224922,77.7719161216709,93.79716437093829,91.89333068465673,94.90292453382764,151.95588291218561
상호_1636,사업단_11,조직_84,1그룹,7879.293292937484,38.03914859940162,30.41026471362383,91.78916910270124,87.58026615622543,39.42312383860537,96.52349419292733,120.74791135781021,86.34066935451621,95.51632459742872,161.76822217095255
상호_1637,사업단_7,조직_52,1그룹,10281.604576511323,106.33784087049905,47.361691369847065,81.1024668012646,96.67386912637639,28.88457752075837,71.13776160179495,97.40506877500172,105.41710552560392,90.71021476812959,152.46524453336824
상호_1638,사업단_6,조직_66,1그룹,6116.1061291610395,44.02957598141342,30.22877116433754,96.38886782208834,81.8096168493258,60.98068269069944,81.13360012549285,90.21490583598941,102.39184303312845,91.24459745428545,89.02464667466931
상호_1639,사업단_7,조직_59,1그룹,8824.39785888864,75.97848590389407,44.1655410834522,90.89780810665903,63.57198550565099,20.402186975196834,36.02346232607053,89.82770046945416,73.10415897779944,81.85813572788969,150.11610086004714
상호_1640,사업단_6,조직_77,1그룹,6153.347568507633,71.28786638390432,35.856837451966925,80.46661419287338,100.12484852167319,56.736328436977885,111.58712756801069,98.86404643921419,89.05225907790397,79.29562841301086,140.45661725015302
상호_1641,사업단_7,조직_58,1그룹,7237.412196767669,70.73225345516929,38.99240278218854,99.17781151891255,87.3881781073201,24.65023144233411,75.07507873647607,99.71766214133963,93.32889208991033,82.76056166352741,161.04752491674222
상호_1634,사업단_8,조직_72,1그룹,8427.292532976755,68.12376192525981,42.06105223650342,91.5298360130288,77.48951670828099,58.11711111022447,60.11795727356029,105.95804913533574,93.87121772958201,94.88322457422956,173.83366117066146
상호_1642,사업단_8,조직_34,1그룹,6225.718378839446,51.463205309347074,34.78338845822361,94.57040598939366,79.55352030200434,22.99337504044257,126.11514226523842,81.40825051380959,100.50066541671406,82.42952668746268,183.2042500737282
상호_1644,사업단_11,조직_83,1그룹,7720.102791311599,48.76155478314986,35.35242007777943,81.28288130971376,102.9440929661057,64.30526900649774,87.72345102484736,95.71333448632022,96.56598467441708,83.81229756668964,145.3245634578196
상호_1645,사업단_11,조직_86,1그룹,5584.92025703048,20.853377111464457,15.816067960117591,103.80168861014769,79.86995157883753,63.289689107459324,90.24809366577307,92.26521454779058,91.70066359651211,90.40157258988275,154.10103641472978
상호_1646,사업단_11,조직_79,1그룹,6028.6462443148175,64.86622476123964,35.88835587957409,81.03602201058219,96.86800951044376,39.312490093173885,100.4843822735846,108.87281934030503,91.0323867986018,67.8893525261218,159.0424150048383
상호_1647,사업단_11,조직_86,1그룹,7982.167113671938,25.902536642789187,24.02129437695831,88.32939375174544,101.69243773911298,72.52827736929794,57.6055217240218,81.37120538461909,100.9244110595432,91.47041593450656,133.1835706206668
상호_1648,사업단_7,조직_59,1그룹,6391.19844353756,77.914813007673,36.98955468291562,110.80044687919644,111.15645778513652,51.66370143104241,65.87091199095478,101.0824302849735,94.94827781657601,86.23959611646181,153.0875536626977
상호_1649,사업단_0,조직_44,1그룹,6624.186836186003,76.26229824866594,35.94738351420013,94.05079521526748,96.95035632294041,47.7699496326085,83.81524235256632,97.00135048732324,93.19510422315594,88.01117433255611,124.56204622753694
상호_1650,사업단_0,조직_17,1그룹,8752.07153644005,55.62541494039288,45.832305689580366,104.04669837008299,96.27607371932267,44.80453515047223,66.3558067695343,104.04154822003055,86.57271540851194,94.9814612064854,137.34775508611182
상호_1670,사업단_8,조직_68,1그룹,8779.088058979469,65.61385414412581,33.80774868151889,92.91350644223039,105.69832503320875,39.38185354397039,97.09279932857228,101.17335814660878,83.66851040273845,73.83915167799651,135.4941905864727
상호_1643,사업단_11,조직_84,1그룹,5590.571006576671,47.204160120886385,27.295221917622076,87.5676620470361,103.0715972053154,55.664761777619546,60.31799833107715,97.78187635288755,97.1874389820923,106.67112891768215,144.80451933266403
상호_1671,사업단_10,조직_40,1그룹,3774.6347637621166,62.026173158861134,28.279162794958438,94.87176814333266,82.00570583197913,18.66697776011618,88.27369949100645,82.26338206605895,101.35189009287316,82.77347467770156,118.86072128846479
상호_1682,사업단_5,조직_64,1그룹,5783.787619383644,54.12588553987055,35.38451256463394,113.3544393742947,84.87824773941725,32.29472960577167,59.459755451683,79.74998458246817,95.24184423973972,90.1493211203943,133.97795243230064
상호_1694,사업단_9,조직_39,1그룹,5075.287509621738,79.15598868242054,26.23424155718088,92.40330804506988,116.84452772804099,43.87069577255255,157.21305641411047,101.77201807446234,83.8096079271132,91.0763654915771,160.28758637683018
상호_1695,사업단_0,조직_44,1그룹,5245.420029002101,35.2440963206545,26.885837268731287,113.94668207332737,76.55050925967863,25.860147673903537,96.11228577173114,100.0820393802918,78.78587614653698,91.8945802113446,160.89316398162447
상호_1696,사업단_3,조직_53,1그룹,7118.718938086592,40.395058780021515,33.45654347098653,94.60536322760291,66.60896580090059,55.74052221768732,70.59981865793995,104.46067887373289,107.54507197103428,100.52704784324702,160.24482844346855
상호_1697,사업단_6,조직_66,1그룹,1942.4366072015955,20.691112786421627,13.348922034066458,82.68931872146746,78.96694226814876,40.72659764991336,90.34601584379047,94.60284169536797,70.17905451860139,99.76182720037913,41.849726375477175
상호_1698,사업단_8,조직_68,1그룹,5625.509267485827,53.97278116844165,30.785664925305472,70.85272756308206,78.2828878336652,54.092820103084705,75.97420461111119,115.01198139917946,106.73709319297325,84.88227472613437,154.23467179217823
상호_1699,사업단_2,조직_50,1그룹,4674.514821088618,56.07659427925012,24.746882359775,95.76127415721996,90.06251689550707,24.77909213214148,82.56735464896163,96.37790249700589,112.30425443715924,92.74678267070345,129.56219723619776
상호_1700,사업단_7,조직_52,1그룹,6189.282031867014,49.8603253237947,33.30668424389996,90.03546168226585,110.26583045958954,50.630515527114326,60.13838999460527,102.93431155329813,84.81459277497962,101.7025140250392,150.90701876786017
상호_1701,사업단_0,조직_0,1그룹,4698.061709998869,46.42329118549423,25.688464530196825,106.93584482549686,80.29983750026247,46.038193336876645,109.646034186971,94.10288417326693,66.75121569784025,77.84607824935266,132.76342642844062
상호_1702,사업단_11,조직_84,1그룹,4999.681263078347,58.89962652617223,27.164324096364357,87.56111240366732,45.877541409586065,40.637371619883446,43.503031158816206,87.5951798659962,108.75252234331076,79.80857395423587,187.55672507556164
상호_1703,사업단_5,조직_70,1그룹,5082.216311949121,56.62546733327631,35.18543749808212,96.9965938321809,82.18815088209064,35.658694887130544,86.21551759229841,107.61992090243773,102.25070659862084,69.14673888747036,144.543534651107
상호_1704,사업단_4,조직_28,1그룹,5159.178600544692,34.32215541669132,23.22445682913307,73.54188467109171,42.608553763207325,16.892910528377858,42.316736312066624,93.40026450735739,77.94303769183105,85.16181161155077,190.1479017658667
상호_1705,사업단_6,조직_75,1그룹,4679.3981098757,64.43040797051022,26.91169632008391,101.15284602408649,108.03653057093288,25.433582543153427,103.90636587938825,74.83620000495554,79.30589360095401,95.9097783890838,148.45067307915696
